,Loading
rel total kms week 0_1,0.9355927024747506
rel total kms week 1_2,0.3504906930288499
rel total kms week 0_2,0.04269155857482318
Date,1.1010663220645566e-06
total kms.1,1.04842874233955e-06
max km one day.1,3.226103637924702e-07
total kms.2,2.7694042354285377e-07
total km Z3-Z4-Z5-T1-T2.1,2.0297900255932972e-07
total kms,1.3015506239444363e-07
total km Z3-4.1,1.0547009885453008e-07
nr. sessions.1,8.609625713479682e-08
max km Z3-4 one day.1,7.495566720304103e-08
nr. rest days.1,7.47305097350218e-08
total km Z5-T1-T2.1,7.297460842989595e-08
total km Z3-Z4-Z5-T1-T2,5.7621467228728684e-08
max km Z5-T1-T2 one day.1,4.8351654282521034e-08
total km Z5-T1-T2,4.1917462449878864e-08
max km one day.2,3.76717974305254e-08
Athlete ID,3.6865965258171876e-08
total km Z3-Z4-Z5-T1-T2.2,3.1417473160287073e-08
nr. days with interval session.1,3.0574558987989426e-08
max km Z5-T1-T2 one day,2.921241788020105e-08
total km Z5-T1-T2.2,2.5667927908616764e-08
nr. sessions.2,2.4660669905531546e-08
nr. rest days.2,1.8502271168939437e-08
"nr. tough sessions (effort in Z5, T1 or T2).1",1.5746077909029104e-08
total hours alternative training.1,1.4505188994520905e-08
nr. days with interval session,1.3905758336995709e-08
max km Z5-T1-T2 one day.2,1.3693721545303334e-08
nr. sessions,1.2503467641165372e-08
"nr. tough sessions (effort in Z5, T1 or T2)",1.0182636497909876e-08
nr. rest days,9.957940361182693e-09
total km Z3-4,9.835779701547488e-09
nr. days with interval session.2,9.063681351917652e-09
total hours alternative training.2,7.887683963573927e-09
nr. strength trainings.1,7.543307088278323e-09
max training success.1,7.174749951488909e-09
total hours alternative training,6.704036474637659e-09
max exertion.1,6.1095971393543456e-09
"nr. tough sessions (effort in Z5, T1 or T2).2",6.0770936183005295e-09
avg training success.1,5.901455702649795e-09
nr. strength trainings.2,5.633729432822726e-09
nr. strength trainings,5.459185650522367e-09
max recovery.1,4.5163779414801094e-09
max km Z3-4 one day.2,4.399821425109405e-09
min training success.1,4.0592789285087225e-09
avg exertion.1,3.6915055530479108e-09
avg recovery.1,3.147965090968216e-09
max km Z3-4 one day,2.6667869653352808e-09
min recovery.1,2.0648107817431928e-09
min exertion.1,1.609901891240824e-09
max km one day,9.469223738456378e-10
max exertion,7.869479766330569e-10
max exertion.2,7.804986045844595e-10
avg exertion,5.321997388908084e-10
max recovery,5.036510916820579e-10
max recovery.2,4.322305004569523e-10
avg exertion.2,3.561329653251451e-10
max training success,3.3889456070019733e-10
avg recovery,2.8751224702194607e-10
min exertion,2.6496713024573406e-10
avg training success,2.2329103055183977e-10
min training success.2,2.1935266032648256e-10
avg recovery.2,2.1517353685756328e-10
total km Z3-4.2,2.0021256380365468e-10
max training success.2,1.5179776338010078e-10
avg training success.2,1.388939797169472e-10
min recovery,8.741725629246166e-11
min training success,4.084789553348848e-11
min recovery.2,3.4579562440991314e-11
min exertion.2,1.377781098511744e-11
