Athlete ID,x,y
0,21.627698684382338,35.70397038437393
1,22.42249066468259,35.94353311919487
2,22.749294578197517,35.73088320681452
3,22.91005656144803,35.71602814857441
4,23.01067305725214,35.42709871991188
5,21.381812030277246,35.85221725592604
6,22.477267328464794,35.822762175253345
7,22.355774191845807,35.81335605305412
8,22.81290323247558,35.69197156127625
9,22.263715860458298,35.55414414909644
10,22.212082168431937,35.505626754842254
11,23.9931704249882,35.93336979309977
12,23.608382850065706,36.38024785368738
13,22.94819701248275,35.39848780483056
14,22.112238916786634,35.059328478824426
15,22.804856142300366,37.00320176045806
16,22.768745923224316,35.22532934292337
17,22.18980461281746,35.529374182789184
18,23.46728088962299,36.29444917772278
19,21.295081800939748,35.27141290951251
20,23.33157220962539,35.6704070133779
21,22.246259510148914,34.99605332661863
22,23.048804706881405,34.91422909628006
23,23.025190277962025,35.27262552630409
24,22.81933245474779,35.02491141337743
25,22.912024361601926,35.32643610053958
26,22.835506752374553,35.23990824704856
27,23.008286192997048,34.831982511657074
28,22.843040191437645,34.91168206509317
29,22.973548545181753,34.799079399109885
30,22.799808013806782,34.77121971456641
31,21.11024526962108,35.25408707588026
32,22.115444657019406,34.89835850374102
33,22.291275820612537,34.74986112571096
34,21.117811062529572,35.18574354192247
35,40.655158730404516,33.0686367861708
36,38.655305706499085,11.98858978081795
37,16.901726768903178,24.868683080692364
38,22.046318990364192,23.560272172280683
39,29.49796113447201,15.680770589602133
40,32.686943425078034,24.547558219597626
41,20.85467940061178,10.899359635704469
42,32.84740882386761,37.71009543943279
43,37.10914378283546,25.59129902114335
44,28.796709828623804,39.88779339178951
45,23.93223665710109,9.372825856936355
46,39.56981955073184,32.80446862498318
47,38.847058191904466,27.737234230055957
48,37.48744907494643,24.88504511721907
49,16.881310545303993,28.96407988583676
50,24.48835543159777,15.369505645481272
51,16.78653588668422,37.27489221240727
52,29.532478506707324,21.163253275936107
53,27.59301992578872,32.32199255742472
54,19.43633256367874,35.00596773827369
55,11.827912766122553,36.25053698448322
56,11.217524610187487,19.898422949039592
57,27.72390538004726,29.186937252534307
58,16.41143996758773,13.179080994663309
59,29.103134002996427,42.305635089543365
60,15.867309108909714,27.630980508578872
61,35.204290214092744,28.111590440893906
62,21.260311255729082,39.355006390390976
63,30.647088151142324,25.682462755955722
64,18.594475172940527,26.15167735479139
65,26.323409297548224,22.7966816084269
66,17.241492149181674,32.042398145501515
67,25.68584723956311,35.41407798376695
68,23.445927874874652,9.98202267952323
69,29.264345774815396,40.409994338894165
70,16.45046474858055,22.397003581918554
71,24.48253106746896,32.28802105183331
72,25.121138360986443,28.98317541582332
73,40.67714092108259,19.572301238332425
